,lat,lon,Name,FACILITIES,ROAD_NAME,CONTACT_NO,GYM,address1,cpno1,dist1,address2,cpno2,dist2,address3,cpno3,dist3
18,103.7657628,1.310505028,Clementi ActiveSG Sports Centre,Swimming Complex/Sports Hall/Gym,Clementi Avenue 3,Swimming complex: 67790577; Sports Hall: 67762560; Gym: 68729185,1,BLK 462A CLEMENTI AVENUE 3,C20M,29,BLK 455A CLEMENTI AVE 3,C21M,90,BLK 449-451 CLEMENTI AVE 3,C20,93
19,103.6943079,1.338545957,Jurong West ActiveSG Sports Centre,Swimming Complex/Sports Hall/Stadium/Tennis Centre/Gym,Jurong West Street 93,Swimming  Complex/Sports Hall/Stadium/Tennis Centre/Gym: 65155331,1,BLK 986 JURONG WEST ST 93,JM29,46,BLK 974/980 JURONG WEST STREET 93,J69,80,BLK 702A JURONG WEST STREET 71,J78M,120
20,103.8724047,1.322710543,Kallang Basin ActiveSG Swimming Complex,Swimming Complex,Geylang Bahru Lane,Swimming  Complex: 62954261,,BLK 72/93/97 GEYLANG BAHRU,KB4,191,BLK 74/92 GEYLANG BAHRU,KB6,192,BLK 38/39 UPPER BOON KENG,UBK5,205
21,103.8787546,1.305663701,Kallang ActiveSG Practice Track/Field/Tennis Centre/Squash Centre/Netball Centre/Lawn Bowl,Practice Track/Field/Tennis Centre/Squash Centre/Netball Centre/Lawn Bowl,Stadium Road,Practice Track/Field/Tennis Centre/Squash Centre/Netball Centre/Lawn Bowl: 63481291,,BLK 50A SIMS DRIVE,SDM2,281,BLK 63 SIMS PLACE,SD11,296,BLK 45/50/51 SIMS DRIVE,SD2,303
22,103.8860615,1.302007596,Katong ActiveSG Swimming Complex,Swimming Complex,Wilkinson Road,Swimming Complex: 63449609,,BLK 51 OLD AIRPORT ROAD,K7,183,BLK 49A JALAN TIGA,KM4,189,"BLK 6,12,14 KAMPONG ARANG ROAD",JB3,201
23,103.8515061,1.354620891,Bishan ActiveSG Swimming Complex/Sports Hall/Stadium/Gym,Swimming Complex/Sports Hall/Stadium/Gym,Bishan Street 14,Swimming Complex: 63536117; Sports Hall/Stadium: 63526631; Gym: 63539238,1,BLK 187-197 BISHAN STREET 13,BE12,136,BLK 181-186 BISHAN STREET 13,BE11,213,BLK 330/337 ANG MO KIO AVE 8,A25,217
24,103.7481529,1.344513205,Bukit Batok Swimming Complex,Swimming Complex,Bukit Batok Street 22,Swimming Complex: 65610939,,BLK 297 - 299 BUKIT BATOK ST 22 BUKIT BATOK STREET 22,U46,59,BLK 274A TOH GUAN ROAD,J90,109,BLK 622A BUKIT BATOK CENTRAL,BBM8,149
25,103.938391,1.326154163,Bedok ActiveSG Stadium,Stadium,Bedok North Street 2,Stadium: 64434846,,BLK 124/129 BEDOK NORTH STREET 2,B31,80,BLK 34A BED0K SOUTH AVE 2,B88,104,BLK 119/123 BEDOK NORTH STREET 2,B30,109
26,103.8606277,1.359324709,Burghley ActiveSG Squash and Tennis Centre,Squash Centre/Tennis Centre,Burghley Drive,Squash Centre/Tennis Centre: 62831251,,BLK 457/458/460 ANG MO KIO ST 44,A43,233,BLK 459/456 ANG MO KIO ST 44,A44,277,BLK 562/565/560 ANG MO KIO STREET 54,A47,336
27,103.9402495,1.353092888,Tampines Swimming Complex/Sports Hall/Gym,Swimming Complex/Sports Hall/Gym,Tampines Avenue 4,Swimming Complex/Sports Hall/Gym: 62601160,1,"BLK 902-916, 942-946 TAMPINES STREET 91",T38,80,BLK 519 TAMPINES CENTRAL 8,TM47,97,BLK 515 TAMPINES CTRL 7,TM36,170
28,103.886691,1.39604192,Sengkang Swimming Complex/Sports Hall/Gym/Hockey Pitch,Swimming Complex/Sports Hall/Gym/Hockey Pitch,Anchorvale Road,Swimming Complex/Sports Hall/Gym: 63153576,1,351A-351D ANCHORVALE ROAD,S13L,59,BLK 351 ANCHORVALE ROAD,S110,73,BLK 350 ANCHORVALE ROAD,SK97,98
29,103.8517468,1.330137705,Swimming Complex/Sports Hall/Stadium/Gym,Swimming Complex/Sports Hall/Stadium/Gym,Lorong 6 Toa Payoh,Swimming Complex: 62594808; Sports Hall/Stadium/Gym/Petanque Court: 62592916,1,BLK 101/102 JALAN RAJAH,RC1,47,BLK 71/72 LORONG 5 TOA PAYOH,TP12,111,BLK 186/191 TO 193 TOA PAYOH TOWN CENTRE,TP18,129
30,103.8340557,1.423592817,Yishun Swimming Complex,Swimming Complex,Yishun Avenue 3,Swimming Complex: 67525513,,BLK 753/774 YISHUN STREET 72/AVENUE 3,Y10,86,BLK 747/752 YISHUN STREET 72,Y9,112,BLK 795-799 YISHUN RING ROAD,Y24,145
31,103.8193433,1.319221996,MOE (Evans) Sports Hall/Stadium/Swimming Complex/Tennis Centre/Squash Centre/Hockey Pitch,Sports Hall/Stadium/Swimming Complex/Tennis Centre/Squash Centre/Hockey Pitch,Evans Road,Swimming Complex/Sports Hall/ Stadium/Tennis Centre/Squash Centre/Hockey Pitch: 64688393,,ALEXANDRA RD,HE19,783,BLK 78/81 REDHILL LANE,HE12,827,BLK 104A HENDERSON CRESCENT,HCM,838
32,103.7193976,1.332812577,Jurong ActiveSG Stadium,Stadium,Fourth Chin Bee Road,Stadium: 65635052,,BLK 399 YUNG SHENG RD,PDJ3,123,BLK 364 YUNG AN ROAD,TJ28,163,BLK 346A KANG CHING ROAD,TJ32,209
33,103.7530336,1.358626993,Bukit Batok Sports Hall/Stadium/Gym,Sports Hall/Stadium/Gym,Bukit Batok West Avenue 5,Sports Hall/Stadium: 65695670; Gym: 68962197,1,BLK 523-525 BUKIT BATOK STREET 52,U30,58,BLKS 512-514 BUKIT BATOK STREET 52,U32,128,BLKS 501-511 BUKIT BATOK ST 52,U34,196
34,103.7485685,1.391095552,Choa Chu Kang ActiveSG Sports Centre,Swimming Complex/Sports Hall/Stadium/Futsal Court/Tennis Centre/Gym,Choa Chu Kang Street 53,Swimming complex: 67678606; Sports Hall/Tennis Centre: 67674576; Stadium/Futsal Court: 67672721; Gym: 67671739,1,BLK 762A CHOA CHU KANG NTH 5,CK44,74,BLK 787A CHOA CHU KANG DRIVE,CK47,146,BLK 792A CHOA CHU KANG NTH 6,CK46,153
